+-----+--------------------------+---------+--------------+--------------------------------------+-----------------------------------+----------------+----------+-----------+--------+
|  id | created                  | state   | instancename | name                                 | displayname                       | account        | haenable | cpunumber | memory |
| 147 | 2013-04-03T13:37:44+0800 | Stopped | i-7-1349-VM  | TAIQI-LOCALPRED                      | (stoped-tmp)TAIQI-LOCALPRED       | fengce         |   True   |     2     | 4.0GB  |
| 148 | 2013-05-27T12:59:40+0800 | Running | i-10-1722-VM | videoserver-is1                      | tianren-forum                     | dangyuanzhijia |  False   |     8     | 8.0GB  |
| 149 | 2013-05-24T14:17:11+0800 | Running | i-7-1720-VM  | WPFVeStore2                          | WPFVeStore2                       | fengce         |  False   |     2     | 3.0GB  |
| 150 | 2013-05-21T09:34:16+0800 | Running | i-17-1715-VM | email                                | email                             | xenvip         |  False   |     4     | 4.0GB  |
| 151 | 2013-05-17T10:25:46+0800 | Stopped | i-16-1709-VM | jituanmis-is3                        | (no)jituanmis-is3                 | jituanoamis    |  False   |     2     | 4.0GB  |
| 152 | 2013-03-20T17:47:59+0800 | Running | i-15-1315-VM | GDUPC-DBTEST                         | GDUPC-DBTEST                      | gdupc          |  False   |     4     | 3.9GB  |
| 153 | 2013-03-14T15:37:54+0800 | Running | i-7-1311-VM  | DIAOBINSHAN-LOCALPRED2               | DIAOBINGSHAN-LOCALPRED2           | fengce         |   True   |     2     | 4.0GB  |
| 154 | 2013-03-12T17:20:46+0800 | Running | i-7-1310-VM  | JIAOQU-LOCALPRED                     | stop-tmp-JIAOQU-LOCALPRED         | fengce         |   True   |     2     | 4.0GB  |
| 155 | 2013-03-07T17:00:01+0800 | Stopped | i-7-1309-VM  | QINGLONG-DATA-COLLECT                | (stoped-tmp)QINGLONG-DATA-COLLECT | fengce         |  False   |     2     | 2.0GB  |
| 156 | 2013-03-07T16:59:24+0800 | Stopped | i-7-1308-VM  | QINGLONG-WEB-SERVER                  | (stop-tmp)QINGLONG-WEB-SERVER     | fengce         |  False   |     2     | 2.0GB  |
| 157 | 2013-03-07T16:58:57+0800 | Stopped | i-7-1307-VM  | QINGLONG-FILE-UPLOAD                 | (stop-tmp)QINGLONG-FILE-UPLOAD    | fengce         |   True   |     2     | 3.0GB  |
| 158 | 2013-03-07T16:58:13+0800 | Running | i-7-1306-VM  | WULIJI-LOCALPRED                     | WULIJI-LOCALPRED                  | fengce         |   True   |     2     | 4.0GB  |
| 159 | 2013-03-07T16:56:52+0800 | Running | i-7-1305-VM  | QINGLONG-LOCALPRED                   | QINGLONG-LOCALPRED                | fengce         |   True   |     2     | 4.0GB  |
| 160 | 2013-03-07T16:56:07+0800 | Stopped | i-7-1304-VM  | WULIJI-DATA-COLLECT                  | (stoped-tmp)WULIJI-DATA-COLLECT   | fengce         |  False   |     2     | 2.0GB  |
| 161 | 2013-03-07T16:55:34+0800 | Stopped | i-7-1303-VM  | WULIJI-WEB-SERVER                    | (stoped-tmp)WULIJI-WEB-SERVER     | fengce         |  False   |     2     | 2.0GB  |
| 162 | 2013-03-07T16:54:44+0800 | Stopped | i-7-1302-VM  | WULIJI-FILE-UPLOAD                   | (stoped-tmp)WULIJI-FILE-UPLOAD    | fengce         |   True   |     2     | 3.0GB  |
