-----SNMP query started-----
1: productType.0 pciBased(2)
2: productVersion.0 NetApp Release 8.1.1 7-Mode: Mon Jul 30 12:49:46 PDT 2012
3: productId.0 2014941127
4: productVendor.0 netapp(1)
5: productModel.0 FAS3240
6: productFirmwareVersion.0 5.1.1
7: productGuiUrl.0 https://:443/na_admin
8: productApiUrl.0 https://:443/servlets/netapp.servlets.admin.XMLrequest_filer
9: productSerialNum.0 850000223796
10: productPartnerSerialNum.0 unknown
11: productCPUArch.0 5
12: productTrapData.0 Trap variable currrently unused.
13: productMachineType.0 FAS3240
779: tv3pPathconfs.0 0
780: tv3pCommits.0 0
781: tv3ccNulls.0 2878
782: tv3ccGetattrs.0 6
783: tv3ccSetattrs.0 0
784: tv3ccLookups.0 0
785: tv3ccAccesss.0 18
786: tv3ccReadlinks.0 0
787: tv3ccReads.0 0
788: tv3ccWrites.0 0
789: tv3ccCreates.0 0
790: tv3ccMkdirs.0 0
791: tv3ccSymlinks.0 0
792: tv3ccMknods.0 0
793: tv3ccRemoves.0 0
794: tv3ccRmdirs.0 0
795: tv3ccRenames.0 0
796: tv3ccLinks.0 0
797: tv3ccReaddirs.0 0
798: tv3ccReaddirPluss.0 0
799: tv3ccFsstats.0 1444
800: tv3ccFsinfos.0 0
801: tv3ccPathconfs.0 0
802: tv3ccCommits.0 0
803: tv3cpNulls.0 100
804: tv3cpGetattrs.0 0
805: tv3cpSetattrs.0 0
806: tv3cpLookups.0 0
807: tv3cpAccesss.0 0
808: tv3cpReadlinks.0 0
809: tv3cpReads.0 0
810: tv3cpWrites.0 0
811: tv3cpCreates.0 0
812: tv3cpMkdirs.0 0
813: tv3cpSymlinks.0 0
814: tv3cpMknods.0 0
815: tv3cpRemoves.0 0
816: tv3cpRmdirs.0 0
817: tv3cpRenames.0 0
