02:00:4b:bd:00:22 , i-15-1759-VM , SJZX-05 , 192.168.31.67 , gdupc , 4 , 4096 , Running , false , 2013-06-07T11:40:21+0800 , 4CPU-4G-gdupc-nfs-slow , XenServer
02:00:3f:11:00:06 , i-16-1375-VM , jituanmis2 , 192.168.32.134 , jituanoamis , 2 , 4096 , Running , false , 2013-04-12T13:31:30+0800 , 2CPU-4G , KVM
02:00:3b:98:00:21 , i-15-1758-VM , SJZX-04 , 192.168.31.68 , gdupc , 4 , 4096 , Running , false , 2013-06-07T11:38:29+0800 , 4CPU-4G-gdupc-nfs-slow , XenServer
02:00:09:cf:00:05 , i-16-1374-VM , jituanmis1 , 192.168.32.161 , jituanoamis , 2 , 4096 , Running , false , 2013-04-12T13:18:54+0800 , 2CPU-4G , KVM
02:00:70:6b:00:20 , i-15-1757-VM , SJZX03 , 192.168.31.87 , gdupc , 4 , 8192 , Running , false , 2013-06-07T10:03:46+0800 , 4CPU-8G-gdupc-nfs-slow , XenServer
02:00:49:55:00:03 , i-16-1372-VM , jituanOARelease , 192.168.32.162 , jituanoamis , 4 , 6144 , Stopped , false , 2013-04-12T10:00:27+0800 , 4CPU-6G , KVM
02:00:6e:5c:00:1f , i-15-1752-VM , SJZX02 , 192.168.31.56 , gdupc , 2 , 4096 , Running , false , 2013-06-06T16:10:11+0800 , 2CPU-4G-gdupc-nfs-slow , XenServer
02:00:5f:76:00:1e , i-15-1751-VM , SJZX01 , 192.168.31.57 , gdupc , 2 , 4096 , Running , false , 2013-06-06T15:43:19+0800 , 2CPU-4G-gdupc-nfs-slow , XenServer
02:00:42:12:00:0a , i-10-1748-VM , tianren-web-db-is , 172.17.0.22 , dangyuanzhijia , 4 , 6144 , Running , false , 2013-06-05T10:15:21+0800 , 4CPU-6G-is-nfs-slow , XenServer
02:00:71:27:00:09 , i-10-1747-VM , tianren-web-is , 172.17.0.15 , dangyuanzhijia , 4 , 6144 , Running , false , 2013-06-05T10:14:18+0800 , 4CPU-6G-is-nfs-slow , XenServer
02:00:67:16:00:08 , i-10-1746-VM , videoserver-ubuntu-is , 172.17.0.13 , dangyuanzhijia , 4 , 6144 , Stopped , false , 2013-06-05T10:13:07+0800 , 4CPU-6G-is-nfs-slow , XenServer
02:00:06:cd:00:01 , i-18-1737-VM , depmanage , 172.17.0.18 , isinternal , 4 , 4096 , Running , false , 2013-05-31T16:40:56+0800 , 4CPU-4G-is-nfs-slow , XenServer
02:00:4e:58:00:39 , i-7-1352-VM , TAIQI-DATA-COLLECT , 192.168.31.72 , fengce , 2 , 2048 , Running , false , 2013-04-03T13:40:56+0800 , 2CPU-2G , XenServer
02:00:6a:2b:00:38 , i-7-1351-VM , TAIQI-WEB-SERVER , 192.168.31.145 , fengce , 2 , 2048 , Running , false , 2013-04-03T13:40:01+0800 , 2CPU-2G , XenServer
02:00:77:fb:00:37 , i-7-1350-VM , TAIQI-FILE-UPLOAD , 192.168.31.160 , fengce , 2 , 3072 , Running , true , 2013-04-03T13:38:54+0800 , 2CPU-3G-HA , XenServer
02:00:7d:0a:00:36 , i-7-1349-VM , TAIQI-LOCALPRED , 192.168.31.29 , fengce , 2 , 2048 , Running , true , 2013-04-03T13:37:44+0800 , 2CPU-2G-500M-HA , XenServer
02:00:5d:69:00:07 , i-10-1724-VM , videoserver01-is ,  , dangyuanzhijia , 4 , 6144 , Stopped , false , 2013-05-27T14:10:03+0800 , 4CPU-6G-is-nfs-slow , XenServer
02:00:5d:76:00:05 , i-10-1722-VM , videoserver-is1 , 172.17.0.12 , dangyuanzhijia , 4 , 8192 , Running , false , 2013-05-27T12:59:40+0800 , 4CPU-8G-is-nfs-slow , XenServer
02:00:2f:43:00:3c , i-7-1720-VM , WPFVeStore2 , 192.168.31.2 , fengce , 2 , 3072 , Running , false , 2013-05-24T14:17:11+0800 , 2CPU-3G-nfs-slow , XenServer
02:00:5d:d1:00:01 , i-17-1715-VM , email , 172.17.0.17 , xenvip , 4 , 4096 , Running , false , 2013-05-21T09:34:16+0800 , 4CPU-4G-is-nfs-slow , XenServer
02:00:2c:45:00:04 , i-16-1709-VM , jituanmis-is3 , 172.17.0.9 , jituanoamis , 2 , 4096 , Running , false , 2013-05-17T10:25:46+0800 , 2CPU-4G-is-nfs-slow , XenServer
